NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,X_IMAGE,Y_IMAGE,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,FILE_NAME,CLASS_OBJECT
4634,-10.9226,0.0134,-11.7595,0.0167,-11.7595,0.0167,3.57,4303.684,147.3241,75,82,149.1306994,69.2740939,256.062,3148.976,5.18,0.0002688613,1.492,0.33,0.15,2.678,dataset\i23.cat,fo
4566,-10.9319,0.0132,-12.7852,0.0128,-12.7852,0.0128,4.28,4303.6,147.3241,206,216,149.0778245,69.2611891,615.366,2899.52,10.25,0.0005325601,1.455,0.313,0.02,4.844,dataset\i23.cat,fo
4314,-10.9398,0.0131,-12.1112,0.015,-12.1112,0.015,3.7,4318.072,147.3241,111,118,149.0084526,69.2163776,1088.831,2036.509,6.07,0.0003151346,1.108,0.097,0.03,3.341,dataset\i23.cat,fo
4550,-10.8608,0.0141,-11.2724,0.0208,-11.2724,0.0208,3.5,4274.029,147.3241,49,53,149.1506953,69.256783,119.164,2816.239,4.43,0.0002300231,1.193,0.161,0.9,1.969,dataset\i23.cat,fo
3288,-10.7511,0.0153,-12.0599,0.0217,-12.0599,0.0217,5.24,4373.126,147.3241,104,110,149.066731,69.1667666,689.899,1081.653,5.51,0.0002864312,1.234,0.19,0.15,3.876,dataset\i23.cat,fo
4574,-11.8407,0.0064,-13.827,0.0059,-13.827,0.0059,3.73,4346.857,147.3241,447,475,148.97236,69.2628073,1334.576,2930.793,8.47,0.0004400458,1.168,0.144,0.03,5.961,dataset\i23.cat,fo
3768,-12.0135,0.0056,-13.5835,0.0066,-13.5857,0.0077,3.93,4745.209,147.3241,334,374,148.9149026,69.1871604,1729.031,1474.587,7.02,0.0003648088,1.597,0.374,0.03,4.591,dataset\i23.cat,fo
4826,-11.3809,0.0091,-13.6103,0.0066,-13.6103,0.0066,3.69,4367.934,147.3241,323,349,149.1039927,69.3441773,439.339,4497.134,11.96,0.0006209979,1.138,0.121,0.03,5.868,dataset\i23.cat,fo
4862,-11.3916,0.009,-13.0884,0.0112,-13.0884,0.0112,4.74,4389.06,147.3241,237,256,148.9440056,69.3236203,1526.96,4102.675,6.61,0.0003435731,1.276,0.216,0.03,5.093,dataset\i23.cat,fo
4622,-11.0993,0.0114,-13.2785,0.0108,-13.2785,0.0108,4.24,4307.975,147.3241,351,394,149.1258663,69.2760189,289.148,3186.703,10.1,0.0005245596,1.078,0.073,0.03,6.713,dataset\i23.cat,fo
1324,-11.2592,0.0101,-13.3468,0.0089,-13.3468,0.0089,3.97,5199.205,147.3241,309,367,148.9812015,69.1303631,1275.649,380.89,14.83,0.0007705627,1.885,0.469,0.02,6.207,dataset\i23.cat,fo
4225,-12.1519,0.005,-13.1371,0.0069,-13.1371,0.0069,3.9,4286.188,147.3241,187,199,149.0513277,69.2092574,795.582,1899.326,4.46,0.0002315356,1.176,0.15,0.49,3.017,dataset\i23.cat,fo
4514,-10.8021,0.0148,-13.7581,0.0083,-13.7581,0.0083,3.7,4286.597,147.3241,612,648,149.0876141,69.2503816,549.175,2692.028,21.36,0.00110964,1.256,0.204,0.0,9.017,dataset\i23.cat,fo
4868,-11.3109,0.0097,-12.5659,0.0121,-12.5659,0.0121,3.9,4382.573,147.3241,160,172,149.0490522,69.3329268,813.184,4281.049,5.91,0.0003067993,1.192,0.161,0.03,3.685,dataset\i23.cat,fo
3893,-11.0523,0.012,-12.5534,0.0126,-12.5534,0.0126,3.92,4263.242,147.3241,155,169,149.1264465,69.1915124,282.029,1558.77,7.84,0.0004070502,1.35,0.259,0.02,4.019,dataset\i23.cat,fo
4789,-11.4956,0.0083,-12.7035,0.0115,-12.7035,0.0115,4.22,4366.32,147.3241,167,178,149.0958403,69.3302615,495.328,4230.23,4.79,0.0002487913,1.231,0.188,0.09,3.676,dataset\i23.cat,fo
3856,-11.6969,0.0071,-13.5251,0.0062,-13.5251,0.0062,3.5,4269.292,147.3241,311,327,149.0995417,69.1909049,465.913,1547.002,9.14,0.0004747118,1.283,0.221,0.03,4.842,dataset\i23.cat,fo
4728,-10.8152,0.0146,-12.093,0.0196,-12.093,0.0196,4.7,4380.176,147.3241,114,119,149.0279783,69.2938711,956.056,3529.186,6.15,0.0003194293,1.16,0.138,0.03,3.713,dataset\i23.cat,fo
4656,-10.7843,0.0149,-12.5251,0.0157,-12.5251,0.0157,4.16,4363.804,147.3241,188,202,148.9604385,69.2795808,1416.451,3253.114,9.51,0.0004939533,1.496,0.332,0.02,4.825,dataset\i23.cat,fo
4950,-11.0363,0.0121,-12.2428,0.0176,-12.2428,0.0176,5.07,4372.596,147.3241,107,116,149.0253634,69.3405135,973.662,4426.723,4.89,0.0002539127,1.093,0.085,0.13,3.603,dataset\i23.cat,fo
3757,-11.5113,0.0082,-13.3115,0.0101,-13.3115,0.0101,4.48,4314.97,147.3241,326,362,149.0574254,69.1863505,753.796,1458.467,5.71,0.0002967956,1.261,0.207,0.03,6.055,dataset\i23.cat,fo
3909,-11.2523,0.0102,-13.4527,0.0092,-13.4527,0.0092,4.5,4451.915,147.3241,335,382,148.9802329,69.1952353,1282.066,1629.004,12.06,0.0006263141,1.564,0.36,0.02,5.983,dataset\i23.cat,fo
