NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,X_IMAGE,Y_IMAGE,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,FILE_NAME,CLASS_OBJECT
684,-11.6918,0.0071,-13.9227,0.0062,-13.9227,0.0062,4.14,4429.963,147.3241,469,541,149.1218609,69.123215,311.757,242.83,14.46,0.000751288,2.262,0.558,0.03,6.674,dataset\i23.cat,gx_e
4823,-11.2855,0.0099,-13.7341,0.0073,-13.7341,0.0073,3.7,4380.405,147.3241,535,566,148.9571391,69.3072119,1438.251,3785.992,16.0,0.0008313499,2.124,0.529,0.02,7.409,dataset\i23.cat,gx_e
4551,-12.6427,0.0035,-15.2847,0.0023,-15.2847,0.0023,3.7,4329.839,147.3241,1155,1234,149.0144599,69.2639545,1048.046,2952.85,25.42,0.001320623,3.525,0.716,0.03,9.241,dataset\i23.cat,gx_e
