MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,CLASS_OBJECT
-10.8657,0.014,-12.0104,0.0173,-12.0104,0.0173,4.14,4348.861,147.3241,94,101,148.9441977,69.2621754,6.36,0.0003305194,1.163,0.14,0.02,3.214,fo
-10.6818,0.0164,-12.3427,0.0174,-12.3427,0.0174,4.28,4381.849,147.3241,162,169,148.995064,69.3052459,10.34,0.0005371606,1.695,0.41,0.01,4.487,fo
-11.09,0.0116,-12.633,0.0116,-12.633,0.0116,3.72,4374.057,147.3241,171,181,148.9196086,69.2839788,7.94,0.0004123819,1.17,0.146,0.02,4.105,fo
-10.8088,0.0147,-12.0309,0.0191,-12.0309,0.0191,4.32,4520.758,147.3241,113,118,149.096369,69.126969,6.65,0.000345426,1.106,0.096,0.02,3.379,fo
-10.8,0.0148,-11.8609,0.0197,-11.8609,0.0197,4.26,4312.785,147.3241,92,94,148.9920349,69.2424503,5.86,0.0003041923,1.07,0.066,0.02,3.11,fo
-11.0349,0.0121,-12.1466,0.0159,-12.1466,0.0159,4.07,4367.341,147.3241,113,121,149.1040825,69.3307247,5.52,0.0002867494,1.12,0.107,0.03,3.269,fo
-11.0759,0.0117,-13.0565,0.014,-13.0565,0.014,6.5,4258.282,147.3241,172,195,149.1414911,69.1890086,6.17,0.000320715,1.36,0.264,0.02,7.916,fo
-11.2212,0.0104,-12.4469,0.0136,-12.4469,0.0136,4.19,4392.967,147.3241,140,152,149.0090264,69.3090383,5.65,0.0002932732,1.586,0.37,0.04,3.626,fo
-12.2306,0.0047,-13.9901,0.0045,-13.8581,0.0051,3.69,4965.913,147.3241,314,338,149.0094849,69.1443375,11.49,0.0005967136,1.284,0.221,0.03,5.061,fo
-10.9153,0.0134,-12.6774,0.015,-12.6774,0.015,5.02,4393.98,147.3241,167,181,148.9252816,69.2238353,10.15,0.0005269868,1.569,0.363,0.02,5.066,fo
-11.5951,0.0077,-14.5939,0.0035,-14.5939,0.0035,3.5,4365.403,147.3241,685,706,148.9441563,69.27542,21.27,0.001104977,1.367,0.268,0.03,7.463,fo
-11.2972,0.0098,-12.72,0.0119,-12.72,0.0119,4.23,4376.476,147.3241,176,186,148.9777223,69.3043085,6.87,0.0003566912,1.236,0.191,0.03,3.954,fo
