@relation datatest

@attribute MAG_APER numeric
@attribute MAGERR_APER numeric
@attribute MAG_AUTO numeric
@attribute MAGERR_AUTO numeric
@attribute MAG_BEST numeric
@attribute MAGERR_BEST numeric
@attribute KRON_RADIUS numeric
@attribute BACKGROUND numeric
@attribute THRESHOLD numeric
@attribute ISOAREA_IMAGE numeric
@attribute ISOAREAF_IMAGE numeric
@attribute ALPHAPEAK_J2000 numeric
@attribute DELTAPEAK_J2000 numeric
@attribute FWHM_IMAGE numeric
@attribute FWHM_WORLD numeric
@attribute ELONGATION numeric
@attribute ELLIPTICITY numeric
@attribute CLASS_STAR numeric
@attribute FLUX_RADIUS numeric
@attribute CLASS_OBJECT {gc,star,gx_e,gx_r,sf}

@data
-15.1412,0.0008,-15.9733,0.0007,-15.9733,0.0007,3.5,4449.476,147.3241,517,553,148.883971,69.226926,5.51,0.000286,1.077,0.072,1,2.62,star
-14.8873,0.0009,-15.4649,0.001,-15.4649,0.001,3.5,4337.742,147.3241,435,465,149.136464,69.128139,3.98,0.000207,1.178,0.151,1,2.188,star
-15.1868,0.0008,-16.2097,0.0006,-16.2097,0.0006,3.5,5191.354,147.3241,642,710,149.011528,69.117901,6.75,0.00035,1.071,0.066,0.99,2.881,star
-15.0896,0.0009,-15.8227,0.0008,-15.8227,0.0008,3.5,4748.729,147.3241,478,582,149.061835,69.133371,5.05,0.000262,1.07,0.066,1,2.48,star
-10.9813,0.0127,-13.4252,0.0096,-13.4252,0.0096,4.04,4284.738,147.3241,405,456,149.125379,69.155,20.18,0.001048,3.055,0.673,0.02,7.658,gx_e
-13.8247,0.0017,-15.2786,0.0018,-15.2786,0.0018,3.53,4380.949,147.3241,974,1028,148.931766,69.291984,4.85,0.000252,1.466,0.318,0.04,4.818,gx_e
-12.5375,0.0038,-13.8952,0.0047,-13.8952,0.0047,3.73,4365.81,147.3241,380,406,148.939022,69.274691,5.62,0.000292,1.434,0.303,0.04,4.096,gx_r
-11.4354,0.0087,-13.9041,0.006,-13.9041,0.006,3.5,4281.794,147.3241,538,566,149.072505,69.194708,16.11,0.000837,1.774,0.436,0.02,7.253,gx_r
-10.8364,0.0143,-11.1341,0.0227,-11.1341,0.0227,3.5,4380.331,147.3241,43,45,148.942314,69.346473,4.33,0.000225,1.059,0.056,0.85,1.847,gx_r
-12.4985,0.0039,-13.7055,0.0056,-13.7055,0.0056,4.45,4478.301,147.3241,253,364,149.119512,69.11984,5.49,0.000285,1.25,0.2,0.12,3.689,gx_r
-12.1629,0.005,-12.8655,0.0064,-12.8655,0.0064,3.5,4257.333,147.3241,102,115,149.148023,69.181524,4.36,0.000227,1.216,0.178,0.93,2.407,gx_r
-11.7357,0.0069,-14.2056,0.0053,-14.2056,0.0053,3.66,4383.772,147.3241,721,754,148.90357,69.290774,12.53,0.000651,1.372,0.271,0.03,7.96,gx_r
-10.8753,0.0139,-12.2035,0.0174,-12.2035,0.0174,4.28,4461.923,147.3241,126,136,148.993547,69.186927,6.53,0.000339,1.385,0.278,0.02,3.712,sf
-11.3583,0.0093,-12.9676,0.0108,-12.9676,0.0108,4.36,4267.736,147.3241,205,241,149.132297,69.165487,7.04,0.000366,1.248,0.198,0.03,4.619,sf
