NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,X_IMAGE,Y_IMAGE,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,FILE_NAME,CLASS_OBJECT
1452,-11.1142,0.0113,-11.5229,0.0174,-11.5229,0.0174,3.50,6542.977,147.3241,52,55,148.8803077,+69.1305753,1967.749,386.717,4.53,0.0002352976,1.620,0.383,0.98,1.929,dataset\i23.cat,None
4522,-11.1119,0.0114,-11.5564,0.0169,-11.5564,0.0169,3.51,4373.297,147.3241,52,62,148.8920434,+69.2503048,1882.746,2690.996,3.32,0.0001725067,1.356,0.263,0.97,1.918,dataset\i23.cat,None
3867,-11.1108,0.0114,-13.1266,0.0144,-13.1266,0.0144,6.23,4260.914,147.3241,207,253,149.1374064,+69.1905179,206.048,1540.024,7.30,0.0003792947,1.398,0.285,0.03,7.845,dataset\i23.cat,None
2496,-11.1076,0.0114,-12.3482,0.0168,-12.3482,0.0168,4.88,4812.461,147.3241,103,117,149.0290386,+69.1496864,948.877,751.455,9.04,0.0004694283,2.459,0.593,0.90,3.451,dataset\i23.cat,None
4446,-11.1060,0.0114,-11.5197,0.0157,-11.5197,0.0157,3.50,4407.228,147.3241,49,53,148.8915414,+69.2350861,1887.497,2397.655,3.36,0.0001745324,1.058,0.055,0.97,1.869,dataset\i23.cat,None
3060,-11.1037,0.0115,-12.1673,0.0163,-12.1673,0.0163,4.08,5038.516,147.3241,113,122,148.9069886,+69.1610301,1785.173,973.822,9.99,0.000518906,1.812,0.448,0.60,3.079,dataset\i23.cat,None
2061,-11.1020,0.0114,-11.7687,0.0176,-11.7899,0.0206,3.50,5997.487,147.3241,77,84,148.8888554,+69.1402424,1908.693,572.102,3.64,0.0001892473,1.367,0.269,0.90,2.300,dataset\i23.cat,None
3564,-11.1011,0.0115,-11.5906,0.0165,-11.5906,0.0165,3.62,4457.04,147.3241,56,63,149.0195628,+69.1762801,1013.125,1265.081,3.33,0.0001730153,1.045,0.043,0.97,2.018,dataset\i23.cat,None
4622,-11.0993,0.0114,-13.2785,0.0108,-13.2785,0.0108,4.24,4307.975,147.3241,351,394,149.1258663,+69.2760189,289.148,3186.703,10.10,0.0005245596,1.078,0.073,0.03,6.713,dataset\i23.cat,fo
220,-11.0951,0.0116,-11.6449,0.0159,-11.6449,0.0159,3.50,5158.779,147.3241,58,66,149.0644097,+69.1126985,704.852,40.650,3.58,0.000185747,1.267,0.211,0.98,2.121,dataset\i23.cat,None
