NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,X_IMAGE,Y_IMAGE,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,FILE_NAME,CLASS_OBJECT
4566,-10.9319,0.0132,-12.7852,0.0128,-12.7852,0.0128,4.28,4303.6,147.3241,206,216,149.0778245,69.2611891,615.366,2899.52,10.25,0.0005325601,1.455,0.313,0.02,4.844,dataset\i23.cat,fo
4634,-10.9226,0.0134,-11.7595,0.0167,-11.7595,0.0167,3.57,4303.684,147.3241,75,82,149.1306994,69.2740939,256.062,3148.976,5.18,0.0002688613,1.492,0.33,0.15,2.678,dataset\i23.cat,fo
4363,-10.9153,0.0134,-12.6774,0.015,-12.6774,0.015,5.02,4393.98,147.3241,167,181,148.9252816,69.2238353,1656.612,2180.883,10.15,0.0005269868,1.569,0.363,0.02,5.066,dataset\i23.cat,fo
3790,-10.8753,0.0139,-12.2035,0.0174,-12.2035,0.0174,4.28,4461.923,147.3241,126,136,148.9935471,69.1869269,1191.415,1469.393,6.53,0.000339086,1.385,0.278,0.02,3.712,dataset\i23.cat,fo
4581,-10.8657,0.014,-12.0104,0.0173,-12.0104,0.0173,4.14,4348.861,147.3241,94,101,148.9441977,69.2621754,1526.781,2919.018,6.36,0.0003305194,1.163,0.14,0.02,3.214,dataset\i23.cat,fo
4550,-10.8608,0.0141,-11.2724,0.0208,-11.2724,0.0208,3.5,4274.029,147.3241,49,53,149.1506953,69.256783,119.164,2816.239,4.43,0.0002300231,1.193,0.161,0.9,1.969,dataset\i23.cat,fo
4728,-10.8152,0.0146,-12.093,0.0196,-12.093,0.0196,4.7,4380.176,147.3241,114,119,149.0279783,69.2938711,956.056,3529.186,6.15,0.0003194293,1.16,0.138,0.03,3.713,dataset\i23.cat,fo
1186,-10.8088,0.0147,-12.0309,0.0191,-12.0309,0.0191,4.32,4520.758,147.3241,113,118,149.096369,69.126969,486.046,315.654,6.65,0.000345426,1.106,0.096,0.02,3.379,dataset\i23.cat,fo
4514,-10.8021,0.0148,-13.7581,0.0083,-13.7581,0.0083,3.7,4286.597,147.3241,612,648,149.0876141,69.2503816,549.175,2692.028,21.36,0.00110964,1.256,0.204,0.0,9.017,dataset\i23.cat,fo
4490,-10.8,0.0148,-11.8609,0.0197,-11.8609,0.0197,4.26,4312.785,147.3241,92,94,148.9920349,69.2424503,1201.005,2539.067,5.86,0.0003041923,1.07,0.066,0.02,3.11,dataset\i23.cat,fo
4656,-10.7843,0.0149,-12.5251,0.0157,-12.5251,0.0157,4.16,4363.804,147.3241,188,202,148.9604385,69.2795808,1416.451,3253.114,9.51,0.0004939533,1.496,0.332,0.02,4.825,dataset\i23.cat,fo
3288,-10.7511,0.0153,-12.0599,0.0217,-12.0599,0.0217,5.24,4373.126,147.3241,104,110,149.066731,69.1667666,689.899,1081.653,5.51,0.0002864312,1.234,0.19,0.15,3.876,dataset\i23.cat,fo
4889,-10.6818,0.0164,-12.3427,0.0174,-12.3427,0.0174,4.28,4381.849,147.3241,162,169,148.995064,69.3052459,1180.034,3747.796,10.34,0.0005371606,1.695,0.41,0.01,4.487,dataset\i23.cat,fo
